week,executive,mean_score,n
2024-08-13,furlani,-0.06239320974993078,19
2024-08-13,gazidis,-0.04082652693614364,9
2024-08-13,ibrahimovic,-0.22127961356775952,111
2024-08-13,maldini,-0.13997704488828674,71
2024-08-13,massara,-0.2697403058409691,3
2024-08-13,moncada,0.039057093249125915,22
2024-08-20,cardinale,-0.2803603233465844,69
2024-08-20,furlani,-0.31841265006143404,29
2024-08-20,gazidis,-0.0019021009405454,3
2024-08-20,ibrahimovic,-0.2800863398377572,163
2024-08-20,maldini,-0.11039775800453687,149
2024-08-20,massara,-0.19349099931423552,8
2024-08-20,moncada,-0.10673066385946162,37
2024-08-27,cardinale,-0.39497696743135086,165
2024-08-27,furlani,-0.29889094484969975,85
2024-08-27,gazidis,-0.22160282910472767,17
2024-08-27,ibrahimovic,-0.21182213854959367,140
2024-08-27,maldini,-0.1920198643134664,345
2024-08-27,massara,-0.19779978080519608,14
2024-08-27,moncada,-0.19146771466586035,74
2024-09-03,cardinale,-0.38042978546294715,81
2024-09-03,furlani,-0.30583288046010937,34
2024-09-03,gazidis,-0.36737509196003276,3
2024-09-03,ibrahimovic,-0.08224107227379493,51
2024-09-03,maldini,-0.09254729896458551,136
2024-09-03,massara,-0.3667454533278942,2
2024-09-03,moncada,-0.3365702278052385,26
2024-09-10,cardinale,-0.32047285576572904,128
2024-09-10,furlani,-0.355816762377508,25
2024-09-10,gazidis,0.046197347529232505,10
2024-09-10,ibrahimovic,-0.30781438341000467,128
2024-09-10,maldini,-0.2161403821886427,155
2024-09-10,massara,-0.22465058070208346,14
2024-09-10,moncada,-0.12037763648248952,29
2024-09-17,cardinale,-0.40547302271366287,246
2024-09-17,furlani,-0.31089645413993955,94
2024-09-17,gazidis,-0.2889530285222766,12
2024-09-17,ibrahimovic,-0.3964163169579266,385
2024-09-17,maldini,-0.18451684024458861,289
2024-09-17,massara,-0.26556754797430976,7
2024-09-17,moncada,-0.5034722970485745,64
2024-09-24,cardinale,-0.2755598747904447,54
2024-09-24,furlani,-0.4759735668687007,13
2024-09-24,gazidis,-0.4886044687591493,2
2024-09-24,ibrahimovic,-0.1000208609427015,42
2024-09-24,maldini,0.008659817237732194,63
2024-09-24,massara,-0.5794968666353574,3
2024-09-24,moncada,-0.16171742924111518,37
2024-10-01,cardinale,-0.3293239912474886,130
2024-10-01,furlani,-0.4445949015706511,21
2024-10-01,gazidis,0.8683189004659653,2
2024-10-01,ibrahimovic,-0.1452134281434879,49
2024-10-01,maldini,-0.08578964322546703,90
2024-10-01,massara,-0.3395225368440151,4
2024-10-01,moncada,-0.2840843325368418,29
2024-10-08,cardinale,-0.43080890283023043,54
2024-10-08,furlani,-0.5274647933775154,23
2024-10-08,gazidis,-0.18167143563429514,3
2024-10-08,ibrahimovic,-0.2099931516295328,64
2024-10-08,maldini,-0.22129304945359335,119
2024-10-08,massara,-0.15971272811293602,1
2024-10-08,moncada,-0.3690515574469993,22
2024-10-15,cardinale,-0.46700536143246363,44
2024-10-15,furlani,-0.24589652277063578,6
2024-10-15,gazidis,-0.8377405218780041,1
2024-10-15,ibrahimovic,-0.2456720402955802,36
2024-10-15,maldini,-0.21047824850319413,69
2024-10-15,massara,-0.18844525013118982,5
2024-10-15,moncada,-0.20619638233620208,8
2024-10-22,cardinale,-0.3605283787474036,25
2024-10-22,furlani,-0.6475168916319186,6
2024-10-22,ibrahimovic,-0.1713574833702296,16
2024-10-22,maldini,-0.0827840377146808,52
2024-10-22,massara,-0.0018196965684182942,4
2024-10-22,moncada,-0.24586727991497712,23
2024-10-29,cardinale,-0.3614442681114619,182
2024-10-29,furlani,-0.26088322643298917,86
2024-10-29,gazidis,-0.4801853235941521,66
2024-10-29,ibrahimovic,-0.34104698332129585,104
2024-10-29,maldini,-0.14122230879601402,227
2024-10-29,massara,-0.3367718637455255,8
2024-10-29,moncada,-0.3698940306044692,44
2024-11-05,cardinale,-0.1293700529833234,31
2024-11-05,furlani,-0.13427660224260762,6
2024-11-05,ibrahimovic,-0.16357712181551115,49
2024-11-05,maldini,-0.219527935786908,38
2024-11-05,massara,-0.466492778621614,2
2024-11-05,moncada,-0.25113644511438904,10
2024-11-12,cardinale,-0.24482996628450399,22
2024-11-12,furlani,-0.95575739024207,3
2024-11-12,ibrahimovic,-0.12023067037161025,36
2024-11-12,maldini,-0.13907984968136589,64
2024-11-12,massara,-0.32431414229795336,5
2024-11-12,moncada,-0.01932190716615878,8
2024-11-19,cardinale,-0.3863382997790452,37
2024-11-19,furlani,-0.13354400941170752,12
2024-11-19,gazidis,0.032471650280058384,2
2024-11-19,ibrahimovic,-0.37027656676558157,30
2024-11-19,maldini,-0.2738710104649027,26
2024-11-19,massara,-0.21869349567633536,9
2024-11-19,moncada,-0.1485884166643794,29
2024-11-26,cardinale,-0.34803143091034144,25
2024-11-26,furlani,-0.3802326746129741,12
2024-11-26,gazidis,-0.9056421257555485,1
2024-11-26,ibrahimovic,-0.30374634924477767,28
2024-11-26,maldini,0.0812437547846054,97
2024-11-26,massara,-0.21149630325713328,7
2024-11-26,moncada,-0.218176185610131,26
2024-12-03,cardinale,-0.4367718260854835,74
2024-12-03,furlani,-0.2777970156632364,15
2024-12-03,gazidis,0.11085156910121441,2
2024-12-03,ibrahimovic,-0.29009035524264304,46
2024-12-03,maldini,0.07083626207472249,110
2024-12-03,massara,-0.13894672179594636,4
2024-12-03,moncada,-0.33227146430598464,17
2024-12-10,cardinale,-0.439847718943447,243
2024-12-10,furlani,-0.4527109063607801,29
2024-12-10,gazidis,-0.1211543083190918,2
2024-12-10,ibrahimovic,-0.28444615777803034,139
2024-12-10,maldini,-0.21564440373813026,174
2024-12-10,massara,-0.26048179398375476,11
2024-12-10,moncada,-0.5302633707273148,37
2024-12-17,cardinale,-0.3458926397803019,194
2024-12-17,furlani,-0.23027962444515046,48
2024-12-17,gazidis,-0.42380120829329826,16
2024-12-17,ibrahimovic,-0.37850839550729787,72
2024-12-17,maldini,-0.28808285490226404,147
2024-12-17,massara,-0.04882674664258957,7
2024-12-17,moncada,-0.4455053245525478,34
2024-12-24,cardinale,-0.367757558792825,207
2024-12-24,furlani,-0.29281966459708647,57
2024-12-24,gazidis,-0.5819946927949786,4
2024-12-24,ibrahimovic,-0.5172703237749166,87
2024-12-24,maldini,-0.1730725012670703,138
2024-12-24,massara,-0.2566640318578316,18
2024-12-24,moncada,-0.24584142748213741,53
2024-12-31,cardinale,-0.3017063808435374,177
2024-12-31,furlani,-0.3363323225842222,46
2024-12-31,gazidis,-0.4272592527559027,8
2024-12-31,ibrahimovic,-0.17304229736328125,109
2024-12-31,maldini,-0.0760100758925546,84
2024-12-31,massara,-0.2258097020094283,8
2024-12-31,moncada,-0.22290364113636316,50
2025-01-07,cardinale,-0.3291663098450312,85
2025-01-07,furlani,-0.38901328447161976,33
2025-01-07,gazidis,-0.798428263515234,1
2025-01-07,ibrahimovic,-0.3441998148924523,107
2025-01-07,maldini,-0.0972020404138179,55
2025-01-07,massara,-0.7095024064183235,1
2025-01-07,moncada,-0.44207805796759203,42
2025-01-14,cardinale,-0.35462712887086917,313
2025-01-14,furlani,-0.3169512784375359,89
2025-01-14,gazidis,-0.12413628125796095,16
2025-01-14,ibrahimovic,-0.22717006919827934,150
2025-01-14,maldini,-0.22035702166548277,269
2025-01-14,massara,-0.08317440336395521,16
2025-01-14,moncada,-0.24961412679426848,153
2025-01-21,cardinale,-0.3081753770423926,132
2025-01-21,furlani,-0.33714765862470997,59
2025-01-21,gazidis,-0.04272375947662762,7
2025-01-21,ibrahimovic,-0.2743004122862547,123
2025-01-21,maldini,-0.19118964461861954,120
2025-01-21,massara,0.006824321213311383,7
2025-01-21,moncada,-0.4413158947482353,74
2025-01-28,cardinale,-0.31216195201543906,262
2025-01-28,furlani,-0.3084960003801729,113
2025-01-28,gazidis,-0.20401156083163288,9
2025-01-28,ibrahimovic,-0.2926733902495471,208
2025-01-28,maldini,-0.22230644955765455,325
2025-01-28,massara,-0.2920906016499632,9
2025-01-28,moncada,-0.38070900247852624,113
2025-02-04,cardinale,-0.330095917901544,43
2025-02-04,furlani,-0.12058174186536381,31
2025-02-04,ibrahimovic,-0.14210444654477156,77
2025-02-04,maldini,-0.052869913687962775,56
2025-02-04,moncada,-0.36581004820098834,21
2025-02-11,cardinale,-0.3912307641313722,45
2025-02-11,furlani,-0.33953861671034247,8
2025-02-11,ibrahimovic,-0.23992961251007563,55
2025-02-11,maldini,-0.34031956750502595,61
2025-02-11,massara,-0.6502734459936619,1
2025-02-11,moncada,-0.573970161320176,12
2025-02-18,cardinale,-0.39687791816454304,188
